30;Tesla Model S;90D, 4WD, Facelift, UHF Sound System;369000;Elon;Musk;48789654123;Kalifornijska 8;Kalifornia;Tesla;Model S;2016;45000;0;525;Elektryczny;5;null;null;0;0;
31;Mieszkanie - Gdynia Or³owo;Mieszkanie na sprzeda¿, Gdynia, Or³owo;559000;Ala;Kowalska;48693693693;Poznañska 5;Warszawa;null;null;0;0;0;0;null;0;Gdynia;Mieszkanie;118;3;
32;Teren inwestycyjny pod zabud. segmentow¹;Dzia³ka na sprzeda¿, Warszawa, M³ociny;1990000;Józef;Czachorski;48500123456;Warszawska 6;Poznañ;null;null;0;0;0;0;null;0;Warszawa;Dzialka;1674;0;
33;Zabrze 3-go Maja - GOR¥CA OFERTA;Mieszkanie na sprzeda¿, Zabrze, Centrum, 3go Maja;110000;Elon;Musk;48789654123;Kalifornijska 8;Kalifornia;null;null;0;0;0;0;null;0;Zabrze;Mieszkanie;66;2;
34;Dom Grudzi¹dz. Praktyczny dom w Rudniku;Dom na sprzeda¿, Grudzi¹dz, Rudnik, Œwierkowa;320000;Tadeusz;R;48666888999;Toruñska 9;Toruñ;null;null;0;0;0;0;null;0;Grudzi¹dz;Dom;113;3;
35;Dom Z Du¿ym Ogrodem;Dom na sprzeda¿, Rzeszów;415000;Janusz;Tracz;48546987123;G³ówna 123;Pcim;null;null;0;0;0;0;null;0;Rzeszów;Dom;173;5;
36;Urzekaj¹cy, stylowy dom 209 m2 z piêknym ogrodem;Dom na sprzeda¿, Siechnice, dolnoœl¹skie;899000;Johann;Schmitt;43444555888;Baden Strasse 54;Berlin;null;null;0;0;0;0;null;0;Siechnice;Dom;209;8;
37;Willa Halina;Mieszkanie na sprzeda¿, Sopot, Dolny, Powstañców Warszawy;1730000;Andrzej;Nowak;48888999333;Krakowska 10;Kraków;null;null;0;0;0;0;null;0;Sopot;Mieszkanie;105;4;
38;Mieszkanie, 25 m2, Poznañ;Mieszkanie na sprzeda¿, Poznañ, Grunwald, G³ogowska;195000;Janusz;Polak;48194419440;Polska 11;Wroc³aw;null;null;0;0;0;0;null;0;Poznañ;Mieszkanie;25;1;
39;Atrakcyjna dzia³ka w Centrum;Dzia³ka na sprzeda¿, Ostro³êka;455000;Ala;Kowalska;48693693693;Poznañska 5;Warszawa;null;null;0;0;0;0;null;0;Ostro³êka;Dzialka;1300;0;
40;Dzia³ka, 1 374 m2, Warszawa;Dzia³ka na sprzeda¿, Warszawa, Wawer;494997;Józef;Czachorski;48500123456;Warszawska 6;Poznañ;null;null;0;0;0;0;null;0;Warszawa;Dzialka;1374;0;
